DATE,START_HOUR,W_ERRORS,W_N,W_AVG,W_MED,W_MIN,W_MAX,W_RANGE,W_STDEV,B_HOUR,B_24CHANGE,
10/06/2010,15,,3580,0.0205047,0.02,0.015,0.140,0.125,0.00531181,
10/12/2010,17,,3580,0.0251821,0.025,0.019,0.089,0.07,0.00359023,
10/13/2010,16,,3580,0.0172296,0.016,0.012,0.072,0.06,0.00491922,
10/14/2010,17,,3580,0.023086,0.023,0.020,0.057,0.037,0.00220813,
10/14/2011,11,,3487,0.0395721,0.040,0.024,0.095,0.071,0.00632727,
10/15/2012,16,,3580,0.0389916,0.012,0.000,4.52,4.52,0.21192,
10/19/2010,16,,2270,0.0593361,0.059,0.040,0.098,0.058,0.00440107,
10/19/2010,16,,2200,0.0587318,0.058,0.040,0.069,0.029,0.00325979,
10/20/2010,15,,3580,0.0319156,0.031,0.025,0.182,0.157,0.00802487,
10/26/2010,14,,3580,0.00924218,0.007,0.004,0.043,0.039,0.00639822,
10/26/2010,16,,3580,0.0117249,0.011,0.007,0.043,0.036,0.00333334,
10/26/2010,14,,3580,0.00761341,0.006,0.003,0.458,0.455,0.0109602,
10/26/2010,16,,3580,0.00853687,0.008,0.002,0.027,0.025,0.00299236,
10/27/2010,09,,3580,0.0100385,0.01,0.005,0.035,0.03,0.00140596,
10/27/2010,24,,3580,0.0118528,0.012,0.010,0.041,0.031,0.00155364,
10/27/2010,14,,3580,0.0165198,0.016,0.012,0.096,0.084,0.00541856,
10/27/2010,09,,3580,0.0101372,0.01,0.004,0.041,0.037,0.00152829,
10/27/2010,24,,3580,0.0101073,0.01,0.007,0.074,0.067,0.00203838,
10/27/2010,14,,3580,0.0137073,0.013,0.009,0.100,0.091,0.00540172,
10/31/2012,24,,3379,0.00820687,0.008,0.001,0.080,0.079,0.00550849,
11/03/2010,14,,2562,0.0480375,0.05,0.017,0.066,0.049,0.00978976,
11/05/2012,09,,2784,0.0410266,0.041,0.014,0.092,0.078,0.0049033,
11/06/2012,11,,2736,0.0769942,0.0775,0.025,0.128,0.103,0.00792997,
11/07/2012,10,,2894,0.0434534,0.043,0.010,0.350,0.34,0.0110378,
11/10/2011,24,,3580,0.0472486,0.0535,0.013,1.69,1.677,0.0428553,
11/14/2012,10,,3580,0.0298897,0.028,0.021,0.094,0.073,0.00569415,
11/16/2010,10,,3580,0.0101369,0.01,0.007,0.053,0.046,0.00208566,
11/16/2010,09,,3580,0.0107855,0.011,0.007,0.036,0.029,0.00218279,
11/17/2011,13,,3580,0.00527793,0.003,0.000,0.050,0.05,0.00897465,
11/19/2012,11,,2849,0.00638786,0.006,0.003,0.042,0.039,0.00229918,
11/23/2011,24,,3580,0.00942626,0.008,0.001,0.093,0.092,0.00543493,
11/25/2011,16,,1750,0.0186931,0.019,0.008,0.038,0.03,0.0025067,
01/07/2012,13,,2528,0.000837421,0.001,0.000,0.032,0.032,0.00123475,
12/03/2012,11,,3422,0.0377788,0.037,0.019,0.210,0.191,0.00793224,
12/07/2011,13,,2891,0.0744161,0.074,0.041,0.208,0.167,0.00619627,
12/08/2011,13,,3580,0.0685941,0.069,0.039,0.256,0.217,0.0121276,
12/09/2011,13,,3222,0.0881207,0.089,0.033,0.328,0.295,0.0107224,
12/10/2012,13,,3580,0.0130573,0.014,0.005,0.028,0.023,0.00316781,
12/13/2011,15,,3247,0.0268894,0.026,0.019,0.105,0.086,0.00436794,
12/14/2011,24,,3167,0.0667427,0.061,0.041,1.56,1.519,0.0530746,
12/15/2011,11,,2957,0.0175681,0.019,0.008,0.134,0.126,0.00711924,
12/17/2012,14,,3580,0.0138592,0.013,0.003,0.121,0.118,0.00412754,
12/19/2012,13,,3580,0.00909078,0.004,0.002,1.34,1.338,0.0562337,
12/20/2011,15,,3580,0.0390732,0.039,0.023,0.079,0.056,0.00439517,
12/21/2011,11,,2944,0.0790832,0.076,0.027,0.515,0.488,0.0237101,
12/22/2011,11,,3306,0.00296794,0.002,0.000,0.145,0.145,0.00565741,
12/23/2011,11,,3431,0.034545,0.035,0.019,0.282,0.263,0.0101975,
12/26/2011,14,,3170,0.0425543,0.043,0.031,0.058,0.027,0.00403983,
12/27/2011,24,,3580,0.0335416,0.035,0.019,0.072,0.053,0.00731438,
12/28/2011,14,,3092,0.0153719,0.015,0.010,0.055,0.045,0.00301957,
10/18/2011,24,,2493,0.0176398,0.017,0.009,0.092,0.083,0.00429855,
10/18/2011,24,,3580,0.0165869,0.014,0.000,0.095,0.095,0.0143905,
12/18/2012,14,,3580,0.00643492,0.005,0.000,1.61,1.61,0.033221,
01/19/2012,14,,2706,0.035888,0.036,0.010,0.076,0.066,0.00516952,
10/20/2011,10,,3347,0.0274733,0.027,0.019,0.607,0.588,0.0119961,
10/20/2011,24,,3109,0.0234535,0.023,0.018,0.039,0.021,0.00224708,
10/20/2011,10,,3580,0.0212173,0.021,0.009,0.077,0.068,0.00296492,
12/20/2012,24,,2936,0.00829394,0.007,0.004,0.071,0.067,0.00369814,
01/21/2012,13,,2946,0.00732179,0.007,0.002,0.024,0.022,0.00171501,
10/25/2011,13,,3580,0.0243385,0.024,0.017,0.048,0.031,0.00347713,
09/29/2011,09,,8,0.009125,0.009,0.007,0.011,0.004,0.00136359,
01/27/2012,16,,2758,0.0152806,0.015,0.008,0.142,0.134,0.00463625,
01/31/2012,13,,3095,0.0177499,0.018,0.010,0.031,0.021,0.00257717,
03/26/2012,13,,1333,0.00629857,0.005,0.002,0.026,0.024,0.00260405,
03/26/2012,14,,715,0.00372867,0.003,0.001,0.013,0.012,0.0015606,
03/27/2012,11,,3580,0.00847765,0.006,0.002,0.092,0.09,0.00621665,
03/30/2011,16,,1143,0.0075958,0.007,0.005,0.071,0.066,0.00263785,
03/31/2011,16,,1628,0.0136757,0.013,0.008,0.203,0.195,0.00929951,
04/01/2011,15,,809,0.015398,0.015,0.012,0.034,0.022,0.00205362,
04/02/2011,11,,3580,0.0185469,0.018,0.013,0.097,0.084,0.00421029,
12/08/2011,13,,3580,0.0685941,0.069,0.039,0.256,0.217,0.0121276,
04/05/2011,16,,3580,0.0141838,0.013,0.008,0.069,0.061,0.00439944,
04/05/2012,11,,2374,0.00415333,0.003,0.001,0.403,0.402,0.0124751,
04/06/2011,15,,3197,0.012076,0.012,0.007,0.053,0.046,0.00281482,
04/06/2012,11,,2607,0.00535098,0.005,0.003,0.047,0.044,0.00178149,
04/07/2011,15,,2491,0.00738539,0.007,0.002,0.027,0.025,0.00199478,
04/10/2015,15,,2725,0.00514642,0.005,0.002,0.053,0.051,0.00195327,
04/11/2011,14,,3091,0.0204196,0.020,0.014,0.082,0.068,0.00331983,
04/11/2015,15,,3143,0.00507636,0.005,0.000,0.081,0.081,0.00232868,
04/12/2012,13,,2710,0.00592841,0.006,0.002,0.055,0.053,0.00211008,
04/13/2012,14,,2898,0.0049196,0.005,0.002,0.021,0.019,0.00120504,
04/17/2012,15,,2680,0.0025056,0.002,0.001,0.034,0.033,0.0018102,
04/18/2012,13,,1605,0.0149433,0.014,0.010,0.118,0.108,0.00423219,
04/18/2012,14,,1806,0.0140908,0.014,0.010,0.030,0.02,0.0017876,
04/18/2012,13,,1616,0.0103651,0.01,0.007,0.035,0.028,0.00190923,
04/18/2012,14,,1776,0.0100602,0.009,0.003,0.200,0.197,0.00629477,
04/19/2011,24,,507,0.0380966,0.040,0.008,0.072,0.064,0.00927194,
04/20/2011,11,,1792,0.0188555,0.017,0.014,0.060,0.046,0.00584527,
04/23/2012,13,,1442,0.00778294,0.007,0.004,0.018,0.014,0.0024923,
04/23/2012,13,,1623,0.0060382,0.005,0.002,0.181,0.179,0.00755965,
04/23/2012,14,,2056,0.00340175,0.003,0.000,0.043,0.043,0.00325506,
04/27/2011,16,,3060,0.0111605,0.011,0.007,0.046,0.039,0.00222642,
04/30/2012,13,,1631,0.0206481,0.021,0.014,0.064,0.05,0.00344778,
04/30/2012,14,,1448,0.0167127,0.017,0.012,0.025,0.013,0.00151523,
04/30/2012,13,,1483,0.0162077,0.016,0.010,0.028,0.018,0.00273017,
04/30/2012,14,,1563,0.0103231,0.010,0.006,0.019,0.013,0.00126669,
05/04/2012,14,,2776,0.00792976,0.008,0.003,0.081,0.078,0.00277217,
05/08/2012,15,,2933,0.00012956,0.000,0.000,0.024,0.024,0.000877954,
05/17/2011,14,,3580,0.00822514,0.008,0.004,0.030,0.026,0.00194092,
05/18/2011,14,,3580,0.00519581,0.005,0.003,0.042,0.039,0.00140964,
05/19/2011,15,,3580,0.0199433,0.019,0.014,0.192,0.178,0.00547517,
05/19/2015,14,,2087,0.0199262,0.019,0.010,0.546,0.536,0.0141079,
05/23/2011,14,,3580,0.0147416,0.014,0.011,0.170,0.159,0.00391259,
05/24/2011,13,,3036,0.0144111,0.014,0.009,0.051,0.042,0.00308749,
